site,datetime,x,y,layer,obsval
twgw_2_1042,2020-01-15 09:36:00,6411.073826936332,3915.6557626196472,3,34.11639896
twgw_0_202,2020-02-03 12:00:00,9000.260312632394,3355.506277632604,1,34.11660677
twgw_2_202,2020-01-31 04:48:00,9002.018850419525,3319.006745680373,3,34.11641094
twgw_0_4369,2020-01-26 16:48:00,2377.285659093784,-750.5158913574547,1,33.60190521
twgw_0_2957,2020-02-06 02:24:00,5785.644647575239,-766.8019312504399,1,33.78499861
twgw_0_4518,2020-01-07 04:48:00,2618.279513933654,-1498.6932103263841,1,33.57280235
twgw_0_3076,2019-12-23 21:36:00,3767.7898343058077,1192.6725532771384,1,33.72014371
twgw_2_3076,2020-02-03 21:36:00,3832.385761844663,1154.0384951844164,3,33.71993653
twgw_0_2728,2020-01-19 07:12:00,5268.359669847015,371.1482351337234,1,33.75859518
twgw_2_2728,2020-01-27 04:48:00,5290.585298319484,404.5562801765389,3,33.75840781
twgw_2_4369,2019-12-29 21:36:00,2382.2943635294123,-731.287169678793,3,33.60169806
twgw_2_3385,2020-02-09 12:00:00,3636.601296879497,474.67399784594204,3,33.64850426
twgw_2_2957,2019-12-24 02:24:00,5776.142710477893,-765.2288571604122,3,33.78482364
twgw_2_1590,2020-02-18 02:24:00,6936.293012858507,1552.8256344670576,3,33.90144825
